IDENTIFIER,probID,GSM152856,GSM152857,GSM152858,GSM152859,GSM152860,GSM152861,GSM152862,GSM152863,GSM152864,GSM152865,GSM152866,GSM152867,GSM152868,GSM152869,GSM152870,GSM152871,GSM152872,GSM152873,GSM152874,GSM152875,GSM152876,GSM152877,GSM152878,GSM152879,GSM152880
MAPK3,1000_at,8.952897112,8.549363156,9.437792822,9.314269397,9.771168404,8.634373771,10.01135535,8.716340607,8.818244624,8.607821633,8.997391451,8.469886702,8.873727294,8.716340607,9.968553769,9.354945606,9.71671185,8.973242756,9.518592865,8.927257863,8.421483205,9.00114773,8.74258229,8.778782236,8.679265167
TIE1,1001_at,5.665503004,7.411996336,7.144376231,3.042096251,6.39007064,6.95089117,5.865647245,6.983571098,5.977564163,5.909858824,6.659999355,5.315383125,4.876502989,6.859533175,7.275290659,7.117923342,4.614393155,6.58920136,6.939529943,7.007267902,7.241105441,6.73212919,6.816793377,6.140753383,6.461734813
CYP2C19,1002_f_at,4.082152715,4.599122833,4.017684367,3.408545862,4.865428684,4.558216813,4.979358322,4.168736456,4.28439565,4.056228581,4.129235059,3.931951018,4.311368649,3.995301722,4.587768089,3.672994262,3.740816586,4.137431409,4.078345866,4.485523253,3.940416555,4.392626779,4.177296638,3.369688952,4.328564497
CXCR5,1003_s_at,4.507976043,4.876502989,4.956279298,5.806166385,7.303046222,5.684010498,6.249237026,4.772805612,5.669069335,5.107271166,4.220609593,4.218210254,5.09790562,4.652044061,5.41310689,4.429139409,5.274248803,5.066380151,5.130227793,5.068618512,4.713079535,5.220140604,4.33098458,4.705907903,5.19454795
CXCR5,1004_at,6.525096753,6.463380627,6.706983533,7.545912712,6.682087266,7.510871734,7.366598517,7.37592283,7.612113907,7.803191658,5.159672633,6.737285843,7.049036656,7.204543289,6.784321429,4.885279314,6.591388129,6.069281638,4.595037142,6.819084341,6.745990477,6.959936959,5.307185533,6.866729724,6.465836796
DUSP1,1005_at,9.259300087,9.453691871,9.852716211,8.069614981,10.48894214,7.00804048,9.736268727,7.400959199,7.006668781,6.822093496,7.8747734,7.379779113,7.811096368,7.446706321,9.730427845,9.867190188,9.976229211,9.158726789,8.798259076,8.562077408,9.116711948,8.146150274,8.872450454,8.156402793,8.671415839
MMP10,1006_at,3.214977226,3.027500199,4.907554448,6.267500995,4.876960943,3.935562681,2.58909442,4.655458054,3.485946786,5.214209496,6.393796218,3.962515604,3.679510868,3.107562447,3.739711277,2.111793819,3.536181802,4.803592273,5.597081662,2.431496737,3.052836145,2.063277365,3.692233662,3.59205994,4.191941391
DDR1,1007_s_at,8.705857639,8.793729557,10.76879933,12.52402778,11.7919559,10.37194118,11.62675644,10.00146277,10.51027613,10.74736926,9.813230467,10.18470971,10.36257844,10.04066131,11.95250443,10.68024737,11.26015517,8.701272504,8.609816343,9.869607136,8.251698882,8.389792012,9.023647668,8.948926582,9.016358529
EIF2AK2,1008_f_at,11.36653862,10.48669004,10.75173995,13.82363896,11.95250443,10.53568362,11.85082016,10.90424151,10.1755045,10.21676293,11.76953753,10.22047063,9.13446378,10.713299,10.26125137,11.03368332,9.876099557,10.97888984,10.79974142,10.58797882,10.58797882,11.53134896,11.02724798,9.824390823,10.13845907
HINT1,1009_at,11.23076154,9.333031686,8.920996285,8.634373771,8.614170752,9.555471373,8.989503621,9.982474506,9.441628177,9.565613199,9.818413398,9.963684624,9.678206137,9.704524297,9.850305461,9.088522033,8.563540818,10.37788647,10.47681369,9.071635256,10.34303794,9.511992897,10.51376332,10.55910097,10.15166785
RABGGTA,100_g_at,7.935666428,7.904943943,7.913494686,8.451063827,7.719545494,8.943276367,7.757662064,8.388021042,8.490593479,8.576060451,8.558762374,8.091876704,8.273278735,8.808282305,8.510561012,8.117542614,8.375343505,8.955850366,8.456016529,8.632118892,7.945078728,8.548701621,8.707993866,8.396730245,8.522598289
