IDENTIFIER,probID,GSM152804,GSM152805,GSM152806,GSM152807,GSM152808,GSM152809,GSM152810,GSM152811,GSM152812,GSM152813,GSM152814,GSM152815,GSM152816,GSM152817,GSM152818,GSM152819,GSM152820,GSM152821
MAPK3,1000_at,9.043682832,8.831807526,8.689024494,8.52431841,9.084136802,8.469943024,9.212211344,9.532020079,8.63443295,8.810785891,8.725735367,8.319993131,9.397426288,9.487644354,8.829928845,9.115905934,9.517911173,9.091212512
TIE1,1001_at,7.036067588,7.072799628,6.8420172,6.113467949,6.816284296,6.581250676,6.758383028,7.467310827,6.016663595,5.944648644,6.118418874,5.539249387,6.49824107,6.758193805,6.476048331,6.207868017,5.343371499,6.823806327
CYP2C19,1002_f_at,3.862035695,3.90308215,2.704508024,2.759862705,3.261273076,5.238180745,4.260218055,4.176674344,2.277160083,2.902489718,1.549160569,3.278218923,2.739103628,3.437369523,4.585678854,3.494659512,2.885438909,3.75018983
CXCR5,1003_s_at,6.131955583,4.474822264,5.488522302,4.136554748,4.414130003,6.258027932,5.898637029,6.491504872,3.876140591,5.790121491,3.902509642,4.881623491,5.346339021,4.712026516,4.539596763,4.635672094,5.443311823,5.284976225
CXCR5,1004_at,6.502791607,4.227002739,4.380903797,6.307690791,7.061018351,6.945008513,7.891076339,6.918901467,5.68664307,6.304151305,6.520477957,7.015228722,6.604715701,3.598622555,6.868968862,5.366047357,7.395657508,6.581672242
DUSP1,1005_at,8.731631345,9.566567794,9.809225735,10.78329924,10.84281372,10.09528899,10.01028487,10.32412358,10.25571581,10.66639788,10.08601532,9.363260102,8.979774019,10.35176975,10.01841502,10.05166084,10.13523858,9.445944275
MMP10,1006_at,5.249334365,3.3990099,1.780183267,1.566483783,2.602027137,5.118425884,3.986159916,3.657755477,1.268683036,3.556783042,4.663301146,4.807205184,2.870227545,2.599429916,3.049121424,3.367322432,2.73198809,4.625993915
DDR1,1007_s_at,10.76707261,8.717402753,9.59650278,10.32033182,9.824590659,10.12401096,9.067738876,9.09640435,9.863451255,10.10875623,10.30571412,9.629577508,10.64299611,9.815766801,9.094216602,9.30465472,10.48452378,10.02290413
EIF2AK2,1008_f_at,10.48871537,10.70636903,10.48452378,10.82678483,11.17667919,10.81771324,14.25102971,13.06489344,11.16271442,10.44020099,10.65400257,10.45553504,9.647686788,10.88044504,10.81771324,11.11006461,11.56979663,11.04942413
HINT1,1009_at,9.797565532,10.10875623,9.933782404,10.7027324,10.11635225,10.28601387,9.527897106,9.433848574,10.61865105,10.95385461,10.63264116,10.55110095,9.954903627,9.468976691,9.240483673,9.757265457,10.14651768,9.779496497
RABGGTA,100_g_at,8.466743155,8.231672524,7.668047943,8.154222967,8.293579753,8.532044516,6.189614795,8.986570719,8.76678556,8.326444921,7.99349487,8.078883918,8.341070858,8.287400285,7.786660986,8.011723134,8.387533972,8.552654038
MAPK11,1010_at,5.796299675,3.602320654,2.67888715,3.386650326,3.682150769,3.953277001,4.055701177,3.875031472,3.689581134,2.882214752,3.444373133,5.57791337,2.784813082,3.570113494,3.10956763,3.309747331,3.001940702,5.864693603
YWHAE,1011_s_at,8.326444921,7.239633371,8.07655277,7.873094553,6.472727717,7.827365543,4.435515073,6.673067341,7.290687653,9.00252946,8.789342337,8.810785891,8.68156995,8.610999597,8.507322119,8.477652612,8.886605823,8.620171912
KAT2B,1012_at,5.159539765,5.523051118,3.900249791,3.031918502,2.755916496,4.345554593,5.289955689,3.468348246,5.504497084,4.999417544,4.899070582,5.551432211,5.914100573,4.30646294,4.292634266,4.860701758,4.566800058,5.241837157
SMAD5,1013_at,4.839131558,4.432545587,5.04474007,3.697526205,2.43310847,4.537434307,1.051105797,0.985398383,3.836952497,4.342967319,4.691247079,2.645701345,1.613543754,5.245272312,1.768370173,4.551992836,2.107255778,4.87181318
POLG,1014_at,7.607843958,8.394925036,8.381774228,8.103317446,8.707808327,8.057398644,7.871485453,8.671377065,8.016945947,7.999984917,8.056005252,8.302474461,8.599478644,8.443293311,8.448376914,8.402898056,8.469543515,7.989803371
LIMK1,1015_s_at,4.962845862,5.810848482,5.756930573,4.008401169,5.167554187,4.711460211,3.818335453,4.888379492,4.57255644,4.88558942,5.200335274,3.098517645,3.921349131,5.418956317,5.128186768,5.349502069,4.292865246,4.643596738
IL13RA2,1016_s_at,3.083971191,4.813585041,4.652978408,3.133701249,5.340383426,3.735082829,4.465755125,4.553905572,4.771385366,5.576973005,3.251125331,5.06309567,3.909944532,5.027185002,5.279495446,5.589683445,4.652978408,3.057039281
MSH6,1017_at,6.020254056,3.80048239,4.643276779,4.840164913,1.664805751,5.647777232,6.431424937,4.36232091,6.182893345,4.88558942,6.177154677,5.940306639,6.234846381,5.684480431,6.494904459,6.715730469,4.502034329,5.254655206
WNT10B,1018_at,6.346695188,5.741701099,4.938962006,6.085400184,4.927064463,6.607956469,7.498786293,6.669375892,4.615960303,5.247657507,5.72807223,4.564875874,4.927064463,4.525770734,5.271202339,4.937988403,4.921910295,5.206907648
WNT10B,1019_g_at,6.981746406,6.346695188,5.623117097,7.131231297,7.629861209,7.273462633,9.16011881,8.435738395,6.754229845,7.621409849,6.418228936,7.580553938,6.711430893,7.222659234,7.076925219,7.351478662,7.292558868,7.094445151
DYRK4,101_at,7.723890086,7.898099549,7.104938682,7.891893343,8.100454385,8.019326279,3.209289135,6.581427004,7.613072992,7.602822658,7.789249984,7.820667336,6.897566892,6.409729375,7.597065602,7.372530011,6.649346902,6.612873499
CIB1,1020_s_at,9.782589322,8.778070559,9.056688334,10.30571412,8.819088086,10.27201212,9.751608813,9.61838846,10.39517764,10.38037197,9.863451255,10.48452378,9.335603252,8.597281739,9.066545187,9.891387196,9.791237291,9.976173104
IFNG,1021_at,5.27805393,4.853067709,5.859321335,3.237029169,6.134542291,5.469522693,6.349230075,5.662275269,5.222943829,5.05490465,3.152883641,5.031066238,3.349021871,6.017670962,4.920408518,5.52811832,5.777571354,5.124093989
IFNA14,1022_f_at,5.389652397,5.503264082,6.02383954,3.586140707,4.752233285,4.640313176,7.471601698,5.836226748,4.82319426,3.629435239,4.805075553,4.841324629,5.134972254,6.066914417,5.333884176,3.608948594,5.756030504,5.619288389
EPO,1023_at,3.837697328,4.497655746,3.806808099,4.553715192,4.799002364,4.45333738,4.777287127,4.88204084,3.675143305,4.071026949,3.755109806,3.532839973,4.052566662,4.371013721,3.991046156,4.235578454,3.537260711,4.486512835
CYP1A1,1024_at,5.985398627,4.535387987,3.735404718,6.113467949,4.527987993,5.149504701,4.515784582,6.86222087,3.791951074,3.896752277,5.341484378,5.509348199,4.66676707,3.985601379,5.374356728,5.097585066,5.035584347,5.78622696
CYP1A1,1025_g_at,5.261850287,5.452375784,6.423501441,5.93884068,4.967114574,3.932389514,6.485013318,7.052984592,6.161656764,4.936295793,5.576376157,2.535777306,6.17534322,6.425479688,5.672150207,6.046252079,6.472446759,6.144467681
COL11A2,1026_s_at,5.429508711,7.688399516,7.368788706,7.181281649,8.208120145,4.976675891,6.469180424,6.705749631,7.10835153,6.721678043,6.213095373,7.180442255,7.005273869,7.295510842,7.333007088,6.837345181,5.735122947,7.749445
COL11A2,1027_at,3.428795019,3.687859371,5.859321335,3.967785786,3.399416755,4.033564494,5.072723231,3.915918436,6.238124163,4.820015418,3.212846119,4.82319426,4.927064463,4.089967361,4.256643844,4.032940214,4.128517279,5.353062848
TOP3A,1028_at,5.899725569,6.277189724,5.944648644,6.106368431,6.382857905,5.963046443,7.725611306,6.73991068,6.916795741,5.980288149,6.492052038,7.461786038,6.867286678,6.284733514,6.784337573,7.34785817,7.153435755,5.936191379
TXK,1029_s_at,2.596703315,3.005687495,3.762391123,1.185065873,2.755916496,5.433860115,4.184455932,2.343128279,1.394755183,2.101335202,4.737677764,4.155929563,3.776058119,2.947673168,5.412559476,2.50917057,1.185065873,5.837865304
HIPK3,102_at,5.203864236,5.123418993,1.53842812,2.830319723,4.121173762,4.267199219,2.722610126,0.985398383,5.626426292,2.935478666,4.60724808,5.131192192,4.870490498,5.496453423,2.92270427,1.408611034,5.482330041,5.25887115
